Collection Name,Subcollection,Subcollection$2,Subcollection$1,Title#1,Non Sort#1,Subtitle#1,Uniform Title#1,Alternative Title#1,Other Title#1,First Line of Chorus#1,First Line of Text#1,Series Title#1,Uniform Title#2,Alternative Title#2,Other Title#2,First Line of Chorus#2,First Line of Text#2,Series Title#2,Alternative Title#3,Other Title#3,First Line of Chorus#3,First Line of Text#3,Series Title#3,Other Title#4,First Line of Chorus#4,First Line of Text#4,Series Title#4,First Line of Text#5,Composer#1,Lyricist#1,Arranger#1,Contributor#1,Name Authority#1,Composer#2,Lyricist#2,Arranger#2,Editor#2,Artist#2,Performer#2,Contributor#2,Name Authority#2,Composer#3,Lyricist#3,Arranger#3,Artist#3,Performer#3,Contributor#3,Name Authority#3,Lyricist#4,Contributor#4,Name Authority#4,Lyricist#5,Arranger#5,Contributor#5,Name Authority#5,Type of Resource#1,Place Term#1,Place Term Type#1,Publisher#1,Date Issued#1,Date Captured#1,Date Captured Encoding#1,Edition#1,Place Term#2,Place Term Type#2,Publisher#2,Date Issued#2,Edition#2,Publisher#3,Date Issued#3,Date Captured#3,Date Captured Encoding#3,Edition#3,Publisher#4,Date Issued#4,Edition#4,Language Term#1,Language Term Code#1,Language Term Code Authority#1,Language Term Type#1,Internet Media Type#1,Extent#1,Digital Origin#1,Note#1,Digitization Note#1,Note#10,Note#11,Note#12,Note#13,Digitization Note#13,Note#2,Digitization Note#2,Note#3,Digitization Note#3,Note#4,Digitization Note#4,Note#5,Digitization Note#5,Note#6,Digitization Note#6,Note#7,Digitization Note#7,Note#8,Digitization Note#8,Note#9,Subject Topic#1,Subject Authority#1,Subject Geographic#1,Subject Geographic Authority#1,Subject Topic#2,Subject Authority#2,Subject Geographic#2,Subject Geographic Authority#2,Subject Temporal#2,Subject Temporal Authority#2,Subject Name#2,Subject Geographic Code#2,Subject Topic#3,Subject Authority#3,Subject Geographic#3,Subject Geographic Authority#3,Subject Temporal#3,Subject Temporal Authority#3,Subject Name#3,Subject Topic#4,Subject Authority#4,Subject Geographic#4,Subject Geographic Authority#4,Subject Temporal#4,Subject Temporal Authority#4,Subject Name#4,Subject Geographic Code#4,Subject Topic#5,Subject Authority#5,Subject Geographic#5,Subject Geographic Authority#5,Subject Temporal#5,Subject Temporal Authority#5,Subject Name#5,Subject Topic#6,Subject Authority#6,Subject Geographic#6,Subject Geographic Authority#6,Subject Temporal#6,Subject Temporal Authority#6,Subject Name#6,Subject Geographic#7,Subject Geographic Authority#7,Subject Temporal#7,Subject Temporal Authority#7,Classification#1,Plate Number#1,Classification#2,Plate Number#2,Publisher Number#2,Classification#3,Plate Number#3,Publisher Number#3,Identifier#1,Identifier Type#1,Identifier URI#1,Physical Location#1,Access Condition,Physical Location Type#1,ln_RECORDID,ln_RECORD_BATCHID,lnexp_MEDIAFILENAME
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Apple blossoms,Apple blossoms,,,,,,,,,,Apple blossom,,,,,,,When the apple blossoms bloom again each springtime,,,,,Denison's musical readings,,"Cox, Lytton",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,"Chicago, Ill.",,,,,,,,text,T.S. Denison & Co.,,,,c1919,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,Cover title,,,,,,,,,,,,,,,Songs with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1919-SM Online,,,,,,,,7806496x,local,http://libraries.colorado.edu/record=b3192340~S3,University of Colorad Boulder Music Library,,current,1045448,,musc_sheetMary_appleBlossoms.pdf
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Snookey ookums,Snookey ookums,,,,,,,,,,,All day long he calls her Snooky ookums,There's a married couple happily,,,,,,,,,,,,"Berlin, Irving, 1888-1989",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,New York,,,,,,,,text,Waterson Berlin & Snyder,,,,c1913,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,Caption title,,"SM c.: T.p. has drawing of a short, well-dressed man chucking a woman under the chin / E. Pfeiffer",,Krolek c.: T.p. has photo. bride and groom,,,,,,,,,,,Popular music -- 1911-1920,lcsh,,,,,,,1911-1920,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1913,,,,,,,,b25436028,local,http://libraries.colorado.edu/record=b2543602~S3,University of Colorad Boulder Music Library,,current,1047394,,musc_sheetMary_snookeyOokums.pdf
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,California,California,,,,,,,,,,California for mine,,,,,,California you for me and of you I boast,When wintr'y winds are blowing,,,,,,,"Armstrong, Edward",,,,,,,,,,,"Armstrong, Will H",,,,,,,,naf,,,,,,,,notated music,New York,,,,,,,,text,Armstrong Music Co.,,,,c1908,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,Caption title,,"""The greatest song hit since '49""--Illus. t.p",,"Sister Mary, c.1: T.p. in bright red ink, includes cameo photos. of Edward Armstrong and Miss Ethel Davis",,"Hartke, c.1: T.p. in maroon, includes cameo photos. of Edward Armstrong and Miss Ethel Davis",,,,,,,,,Songs with piano,lcsh,,,Popular music -- 1901-1910,lcsh,,,,,,,,,California -- Songs and music,lcsh,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1908-SM,,,,,,,,b31148153,local,http://libraries.colorado.edu/record=b3114815~S3,University of Colorad Boulder Music Library,,current,1047979,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,When it's moonlight on the prairie,When it's moonlight on the prairie,there's a parson only twenty miles away,,,,,,,,,,,Sun slowly sets in the its splendor,,,,,,,,,,,,"Henry, S. R., 1874-1966","Roden, Robert F",,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,N.Y.,,,,,,,,text,Jos.W. Stern,,,,c1908,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score ([4] p.),reformatted digital,Song for voice and piano,,,,,,,Caption title,,"Sister Mary, c.1: illustrated t.p. in brown ink; includes cameo photo. of Rosie Lloyd. Advertisement with musical incipit for ""If I had a thousand lives to live"" on p. [6]",,"Dry, c.1: illustrated t.p. in gray ink; includes cameo photo. of Rosie Lloyd. Advertisement with musical incipit for ""Punch & Judy"" by S.R. Henry on p. [6]",,,,,,,,,,,Songs with piano,lcsh,,,Popular music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1908-SM,,,5967 Jos. W. Stern,,,,,b31148281,local,http://libraries.colorado.edu/record=b3114828~S3,University of Colorad Boulder Music Library,,current,1048103,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,My pony boy,My pony boy,,Miss Innocence. My pony boy. Vocal score,,,,,,,,,"Pony boy, pony boy, won't you be my Tony boy","Way out west, in a nest from the rest",,,,,,,,,,,,"O'Donnell, Charley","Heath, Bobby, 1889-1952",,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,New York,,,,,,,,text,Jerome H. Remick & Co.,,,,c1909,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,Caption title,,,,,,,For voice and piano ; includes refrain arr. for chorus of male or mixed voices (TTBarB or SATB),,"Previously copyrighted by Up to Date Music Pub. Co., 1909 ; copyright transferred 1909 to Thos. J. Kennedy",,"""As sung by Miss Lillian Lorraine in F. Ziegfeld Jr.'s latest triumph--Anna Held in 'Miss Innocence'""--Cover",,,,,,,,,,,Musicals -- Excerpts -- Vocal scores with piano,lcsh,,,Cowboys -- Songs and music,lcsh,,,,,,,Animals -- Songs and music,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1909-SM,,,,,,,,b31151097,local,http://libraries.colorado.edu/record=b3115109~S3,University of Colorad Boulder Music Library,,current,1048004,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Sunset,Sunset,"op. 76, no. 4",,,,,,,,,,,,,,,,,,,,,,,"Buck, Dudley, 1839-1909",,,,,,,,,,,"Lanier, Sidney, 1842-1881",,,,,,,,naf,,,,,,,,notated music,New York,,,,,,,,text,G. Schirmer,,,,[between 1900 and 1999],,,"Low, D?",,,,English,eng,iso639-2b,text,text/pdf,1 score (7 p.),reformatted digital,Caption title,,,,,,,For low voice and piano,,"First line of text: Look off dear love, across the sallow sands",,,,,,,,,,,,,Songs (Low voice) with piano,lcsh,,,,,,,,,"Lanier, Sidney, 1842-1881 -- Musical settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1900-SM,,,1900 G. Schirmer,,,,,b31636858,local,http://libraries.colorado.edu/record=b3163685~S3,University of Colorad Boulder Music Library,,current,1042671,,musc_sheetMary_sunset2.pdf
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,When the land was white with moonlight,When the land was white with moonlight,"op. 20, no. 5",Book of songs. When the land was white with moonlight,,,,,,,,,,,,,,,,,,,,,,"Nevin, Ethelbert, 1862-1901",,,,,,,,,,,"Aldrich, Anne Reeve, 1866-1892",,,,,,,,naf,,,,,,,,notated music,"Boston, Mass.",,,,,,,,text,Boston Music Co.,,,,c1893,,,Low voice,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,Caption title,,,,,,,For low voice and piano,,Also arranged as a part chorus of women's voices,,,,,,,,,,,,,Songs (Low voice) with piano,lcsh,,,,,,,,,"Aldrich, Anne Reeve, 1866-1892 -- Musical settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1893-SM,,,B.M.Co. 863 Boston Music Co,,,,,b3164465x,local,http://libraries.colorado.edu/record=b3164465~S3,University of Colorad Boulder Music Library,,current,1042831,,musc_sheetMary_whenTheLand.pdf
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,The child of the regiment,Child of the regiment,,Fille du régiment. Quand le destin. Vocal score. English & Italian,,,,,,,,,,Ask me not why my heart with fond emotion,,,,,,The Songs of Jenny Lind as sung in the opera of La figlia del reggimento ; no. 2,,,,,,"Donizetti, Gaetano, 1797-1848",,,,,,,,,,,"Lind, Jenny, 1820-1887",naf,,,,,,"Jefferys, Charles, 1807-1865",,,"Glover, Charles William, 1806-1863",,,,,,notated music,Boston,,,,,,,,text,[s.n.,,,,ca. 1848],,,,,,,English,eng,iso639-2b,text,text/pdf,1 vocal score (5 p.),reformatted digital,For voice and piano,,,,,,,Caption title,,English and Italian words,,"List title page illustration: portrait of Jenny Lind in costume as Marie / J.H. Bufford's Lith., Boston",,,,,,,,,,,Songs (Medium voice) with piano,lcsh,,,Operas -- Excerpts -- Vocal scores with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1848-SM,,,1450,,,,,b31677022,local,http://libraries.colorado.edu/record=b3167702~S3,University of Colorad Boulder Music Library,,current,1043161,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Take this lute,Take this lute,,,,,,,,,,,,"Take this lute, whose thrilling lay",,,,,,,,,,,,"Benedict, Julius, 1804-1885",,,,,,,,,,,"Lind, Jenny, 1820-1887",,,,,,,,naf,,,,,,,,notated music,"Boston (115 Washington St., Boston)",,,,,,,,text,Oliver Ditson,,,,[1851?],,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,Caption title,,"Lithographed portrait of Jenny Lind signed by J.H. Bufford & Co., Boston, on t.p",,,,,,,,,,,,,Songs (High voice) with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1851-SM,,,2148 Oliver Ditson,,,,,b31677319,local,http://libraries.colorado.edu/record=b3167731~S3,University of Colorad Boulder Music Library,,current,1043238,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Green branches,Green branches,,,,,,,,,,,,"Wave, wave, green branches",,,,,,,,,,,,"Watts, Wintter, 1884-1962",,,,,,,,,,,"Sharp, William, 1855-1905",,,,,,,,naf,,,,,,,,notated music,Boston,,,,,,,,text,Oliver Ditson Co.,,,,c1913,,,"Medium [voice], in E?",,,,English,eng,iso639-2b,text,text/pdf,1 score (7 p.),reformatted digital,Caption title,,,,,,,For medium voice and piano,,,,,,,,,,,,,,,Songs (Medium voice) with piano,lcsh,,,,,,,,,"Macleod, Fiona, 1855-1905 -- Musical settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1913-SM,,,5-103-69878-5 Oliver Ditson Co,,,,,b3175594x,local,http://libraries.colorado.edu/record=b3175594~S3,University of Colorad Boulder Music Library,,current,1043608,,musc_sheetMary_greenBranches.pdf
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Boat song,Boat song,,,,,,,,,,,,"Where will you take me, little boat",,,,,,,,,,,,"Ware, Harriet",,,,,,,,,,,"Moses, Montrose Jonas, 1878-1934",,,,,,,,naf,,,,,,,,notated music,Cincinnati,,,,,,,,text,J. Church,,,,c1908,,,Low voice,,,,English,eng,iso639-2b,text,text/pdf,1 score (7 p.),reformatted digital,For low voice,,,,,,,Cover title,,,,,,,,,,,,,,,Songs (Low voice) with piano,lcsh,,,,,,,,,"Moses, Montrose Jonas, 1878-1934 -- Musical settings",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1908-SM,,,15879 J. Church,,,,,b31761628,local,http://libraries.colorado.edu/record=b3176162~S3,University of Colorad Boulder Music Library,,current,1043706,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Bayou songs.,Bayou songs.,,Bayou songs. Ma li'l batteau,,,,,,,,Ma li'l batteau,,,,,,,"Sof' win', she call to me",,,,,,,"Strickland, Lily, 1887-1958",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,New York,,,,,,,,text,J. Fischer,,,,c1921,,,"High, E?",,,,English,eng,iso639-2b,text,text/pdf,1 score (3 p.),reformatted digital,For high voice and piano,,,,,,,Words by Michael de LongprÃ© (Lily Strickland),,Pl. no.: J. F. B. 5211-3,,,,,,,,,,,,,Songs (High voice) with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1921-SM,,,J. F. B. 5211-3 J. Fischer,,,,,b31914755,local,http://libraries.colorado.edu/record=b3191475~S3,University of Colorad Boulder Music Library,,current,1044776,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Bayou songs.,Bayou songs.,,Bayou songs. Dreamin' time,,,,,,,,Dreamin' time,,,,,,,"Whipo'will, Sof' an' low",,,,,Bayou songs,,"Strickland, Lily, 1887-1958",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,New York,,,,,,,,text,J. Fischer & Bro.,,,,c1921,,,"High, A?",,,,English,eng,iso639-2b,text,text/pdf,"1 score (3, [1] p.)",reformatted digital,For voice and piano,,,,,,,,,,,,,,,,,,,,,,Songs (High voice) with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1921-SM,,,J.F. & B. 4942-3 (4944) J. Fischer & Bro,,,,,b31914779,local,http://libraries.colorado.edu/record=b3191477~S3,University of Colorad Boulder Music Library,,current,1044796,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,A roundup lullaby,Roundup lullaby,a cowboy's night song to the cattle,,,,,,,,,,,Desert blue and silver in the still moonshine,,,,,,,,,,,,"Ross, Gertrude, 1889-1957",,,,,,,,,,,"Clark, Badger, 1883-1957",,,,,,,,naf,,,,,,,,notated music,Boston,,,,,,,,text,White-Smith Music,,,,c1922,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (7 p.),reformatted digital,For voice and piano,,,,,,,,,,,,,,,,,,,,,,Songs (Medium voice) with piano,lcsh,,,,,West (U.S.) -- Songs and music,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1922-SM,,,15454-6 White-Smith Music,,,,,b3214197x,local,http://libraries.colorado.edu/record=b3214197~S3,University of Colorad Boulder Music Library,,current,1047960,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Temptation rag,Temptation rag,,,,,,,,,,,,,,,,,,,,,,,,"Lodge, Henry, 1884-1933",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,"New York (144 W. 23 Rd. St., New York)",,,,,,,,text,M. Witmark & Sons,,,,c1909,,,,,,,English,eng,iso639-2b,text,text/pdf,5 p. of music,reformatted digital,Caption title,,,,,,,For piano,,,,,,,,,,,,,,,Piano music (Ragtime),lcsh,,,Popular instrumental music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1909-SM,,,8986 M. Witmark & Sons,1250 M. Witmark & Sons,,,,b32179078,local,http://libraries.colorado.edu/record=b3217907~S3,University of Colorad Boulder Music Library,,current,1048025,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,The midnight flyer,Midnight flyer,march-two step,,,,,,,,,,,,,,,,,,,,,,,"Hager, Frederick W., 1874-1958",,,,,,,,,,,"Paull, E. T., 1858-1924",,,,,,,,naf,,,,,,,,notated music,New York,,,,,,,,text,E.T. Paull Music Co.,,,,c1903,,,,,,,English,eng,iso639-2b,text,text/pdf,7 p. of music,reformatted digital,For piano,,,,,,,"Composed in honor of the Colorado Express bound for Trinidad, Colo",,"""Specially composed, arranged & dedicated to the brotherhood of locomotive engineers of America, as suggested by A.C. Traweek, Wichita Falls, Texas.""",,"Also published for piano, four-hands and a simplified version for solo piano",,,,,,,,,,,Popular music,lcsh,,,"Marches (Piano), Arranged",lcsh,,,,,,,Railroad trains -- Songs and music,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1903-SM,,,,,,,,b32195795,local,http://libraries.colorado.edu/record=b3219579~S3,University of Colorad Boulder Music Library,,current,1048082,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,The cubanola glide,Cubanola glide,,,,,,,,,,,,,,,,,,,,,,,,"Von Tilzer, Harry, 1872-1946",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,New York,,,,,,,,text,H. Von Tilzer Music Pub. Co.,,,,c1909,,,,,,,English,eng,iso639-2b,text,text/pdf,5 p. of music,reformatted digital,For piano,,,,,,,"""Also published as a song""",,,,,,,,,,,,,,,Piano music (Ragtime),lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1909-SM,,MUSICPOP 1909-SM,,,,,,b32196040,local,http://libraries.colorado.edu/record=b3219604~S3,University of Colorad Boulder Music Library,,current,1048065,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,The Chinatown rag,Chinatown rag,,,,,,,,,,That Chinatown rag,,,,,,,,,,,,,,"Meyer, George W., 1884-1959",,,,,,,,,,,"Platzmann, Eugene",,,,,,,,naf,,,,,,,,notated music,New York,,,,,,,,text,F. B. Haviland Pub. Co.,,,,c1910,,,,,,,English,eng,iso639-2b,text,text/pdf,6 p. of music,reformatted digital,Caption title,,,,,,,For piano,,"Sister Mary, Hartke, Dry exact copies",,,,,,,,,,,,,Piano music (Ragtime),lcsh,,,Popular instrumental music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1910-SM,,,,,,,,b32215629,local,http://libraries.colorado.edu/record=b3221562~S3,University of Colorad Boulder Music Library,,current,1048044,,
Digital Sheet Music Collection,Sister Mary Sheet Music Collection,,,Golden realm waltz,Golden realm waltz,,,,,,,,,,,,,,,,,,,,,,,,"Harmistoun, J",,,,,,,,,,,"Baker, Thomas (Musician). Black crook",,,,,,,,naf,,,,,,,,notated music,Cincinnati,,,,,,,,text,J.L. Peters & Bro.,,,,c1867,,,,,,,English,eng,iso639-2b,text,text/pdf,6 p. of music,reformatted digital,Caption title,,,,,,,For piano,,"""Music from the Black crook""--T.p",,,,,,,,,,,,,Waltzes,lcsh,,,Piano music,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1867-SM,,,277 J.L. Peters & Bro,,,,,b33154284,local,http://libraries.colorado.edu/record=b3315428~S3,University of Colorad Boulder Music Library,,current,1046629,,
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,1/2/2003,1/2/2003,Song of the little dancing master,,,One-two-three,,,,,,Song of the little dancing master,,,,,,,,,,,,,,"Peterson, Alfred V.",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,Denver,text,Tolbert R. Ingram Music Co.,c1907,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,5 p. of music,reformatted digital,For piano,,,,,,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,,,Piano music,lcsh,,,Popular instrumental music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1907-I Online,,,,,,,,b33504507,local,http://libraries.colorado.edu/record=b3350450~S3,University of Colorado Boulder Music Library,,current,1049301,,Ing123.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,Abide with me,Abide with me,sacred,,,,,,,,,,,,,,,,,,,,,,,"Moret, Neil, 1878-1943","Lyte, Henry Francis, 1793-1847",,,naf,"Shermer, Charles E.",,,,,,,,,,,,,,,,,,,,,,notated music,"Denver, Colo.",text,Tolbert R. Ingram Music Co.,c1911,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,Caption title,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 6 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,Sacred songs with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1911-I Online,,,,,,,,b33504556,local,http://libraries.colorado.edu/record=b3350455~S3,University of Colorado Boulder Music Library,,current,1049318,,IngAbide.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,The Abyssinian patrol,Abyssinian patrol,march,,,,,,,,,,,,,,,,,,,,,,,"Houseley, Henry, 1851-1925",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,Denver,text,Tolbert R. Ingram Music Co.,c1905,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,5 p. of music,reformatted digital,For piano,,,,,,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,,,Marches (Piano),lcsh,,,Popular instrumental music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1905-I Online,,,,,,,,b3350457x,local,http://libraries.colorado.edu/record=b3350457~S3,University of Colorado Boulder Music Library,,current,1049333,,IngAbyssinian.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,Alone,Alone,song for medium voice,,,,,,,,,,,Sun for me has set dear,,,,,,,,,,,,"O'Brien, F. B.",,,,,,"O'Brien, F. B.",,,,,,naf,,,,,,,,,,,,,,,notated music,"Denver, Colo.",text,Tolbert R. Ingram Music Co.,"[1905?], c1904",11/6/2013,iso8601,7th ed,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (6 p.),reformatted digital,For voice and piano,,,,,,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 8 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,,,Songs with piano,lcsh,,,Popular music -- 1901-1910,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1905-I Online,,,,,,,,b33504593,local,http://libraries.colorado.edu/record=b3350459~S3,University of Colorado Boulder Music Library,,current,1049349,,IngAlone.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,Annie Laurie,Annie Laurie,transcription,,,,,,,,,,,,,,,,,,,,,,,"Cutler, Burt M.",,,,,,,,,,,,naf,,,,,,,,,,,,,,,notated music,Denver,text,Tolbert R. Ingram Music Co.,c1906,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,7 p. of music,reformatted digital,Caption title,,,,,,,For piano,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 7 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,Popular music -- 1901-1910,lcsh,,,Piano music,lcsh,,,,,,,,,,,1901-1910,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1906-I Online,,,,,,,,b33504623,local,http://libraries.colorado.edu/record=b3350462~S3,University of Colorado Boulder Music Library,,current,1049366,,IngAnnie.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,As night brings out the stars,As night brings out the stars,song,,,,,,,,,,As the night brings out the stars,Twas a lovely autumn eve,,,,,,,,,,,,"Bonnell, Jos. G.",,,,,,"Bonnell, Jos. G.",,,,,,naf,,,,,,,,,,,,,,,notated music,"Denver, Colo.",text,Tolbert R. Ingram Music Co.,c1907,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 5 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,,,Sacred songs with piano,lcsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MUSICPOP 1907-I Online,,,,,,,,b33504635,local,http://libraries.colorado.edu/record=b3350463~S3,University of Colorado Boulder Music Library,,current,1049383,,IngAsN.pdf
Digital Sheet Music Collection,,Ingram Sheet Music Collection,Colorado Publishers Sheet Music Collection,Ba low,Ba low,slumber song for medium voice,,,Balow slumber song,,,,,,,,Hush dinna greit,,,,,,,,,,,,"Southwick, Mary",,,,,,"Field, Eugene, 1850-1895",,,,,,naf,,,,,,,,,,,,,,,notated music,"Denver, Colo.",text,Tolbert R. Ingram Music Co.,c1905,11/6/2013,iso8601,,,,,,,,,,,,,,,English,eng,iso639-2b,text,text/pdf,1 score (5 p.),reformatted digital,For voice and piano,,,,,,,,"Digital copy. Boulder, Colo. : University of Colorado. Music Library, 2001. 6 digital images : jpeg ; 72 ppi. Scanned on Agfa Duoscan T2000XL scanner",,,,,,,,,,,,,,Songs with piano,lcsh,,,Popular music -- 1901-1910,lcsh,,,,,,,Lullabies,lcsh,,,,,,,,,,1901-1910,lcsh,"Field, Eugene, 1850-1895 -- Musical settings",lcsh,,,,,,,,,,,,,,,,,,,MUSICPOP 1905-I Online,,,,,,,,b33504647,local,http://libraries.colorado.edu/record=b3350464~S3,University of Colorado Boulder Music Library,,current,1049398,,IngBa.pdf
